OBJECTID,Enabled,Shape_Length
1,1,270.549085494249880
2,1,1003.094103075023400
3,1,921.865814262272690
4,1,104.191210261341350
5,1,120.861675472900690
6,1,79.101922859470136
7,1,42.239824925576798
8,1,36.186452400131735
9,1,46.526143480172323
10,1,44.900758460694234
11,1,151.573733365656320
12,1,800.437262928406200
13,1,81.752090946935951
14,1,289.513495362645640
15,1,861.793834071103220
16,1,500.980815723572560
17,1,132.633203802121190
18,1,103.880672283971040
19,1,95.549972978369752
20,1,216.497097032811840
21,1,321.076131886616740
22,1,17.694343604121539
23,1,27.663159432300464
24,1,85.202816959706368
25,1,257.036021652653740
26,1,144.901483322798700
27,1,113.999417873681820
28,1,220.032196358826100
29,1,100.443648279618130
31,1,59.204906863582501
32,1,86.380419179969564
33,1,56.237144781718911
34,1,985.929687670093130
35,1,236.793457038423810
36,1,346.355785268897990
37,1,571.481848156072370
38,1,171.573082580565820
39,1,30.379939657334202
40,1,476.497014985867450
41,1,128.245108831170200
42,1,104.542938442455580
43,1,21.623423133863760
44,1,23.725036683585856
45,1,489.612447837094120
46,1,426.735478907026790
47,1,144.716938333128180
48,1,271.175387595765470
49,1,93.181344358903274
50,1,589.172303194085430
51,1,111.034515832658540
52,1,353.298530948543200
53,1,360.798621954908410
54,1,257.537834867253200
55,1,322.463188776733260
56,1,10.821372040463135
57,1,139.431099304095370
58,1,385.251527454243500
59,1,272.001210854307200
60,1,189.872865048826810
61,1,19.470978777147476
62,1,480.778003100769920
63,1,38.797228856900269
64,1,50.399756074854686
65,1,42.133509981855553
66,1,39.942475619817777
67,1,82.222446717579317
68,1,120.378398384490370
69,1,386.834466995067540
70,1,189.008177983082130
71,1,193.207527505883290
72,1,126.292462481276130
73,1,212.134922748432300
74,1,49.491193309253070
76,1,357.053796360563870
77,1,63.106406804203189
78,1,25.647581061608925
79,1,134.996044526488840
80,1,45.068943062963925
81,1,135.070413287058360
82,1,364.739012625225140
83,1,637.566916775549320
84,1,72.696644994435161
85,1,95.473833719366098
86,1,190.248305075250100
87,1,194.474084837099670
88,1,40.192795481730371
89,1,113.771491465547700
90,1,60.871754334844049
91,1,211.046571085715210
92,1,628.055341527182240
93,1,368.590444375210040
94,1,318.467588066492970
95,1,163.757290959892880
96,1,46.828117279058354
97,1,74.643791894057685
98,1,374.266670203484860
99,1,41.578572013974174
100,1,32.344011802062099
101,1,1910.570285236136400
102,1,429.135194503380830
103,1,253.137034859814350
104,1,251.393455530473890
105,1,428.251868937869400
106,1,116.882155632307980
107,1,231.406023864249080
108,1,78.350743582602732
109,1,241.063290312792790
110,1,945.665835841059790
111,1,162.612527291332640
112,1,141.694956821691790
113,1,104.304451258832760
114,1,266.496324613932640
115,1,22.048699809047140
116,1,8.069426483754043
117,1,139.875566127516830
118,1,254.686983400789590
119,1,214.428825642153640
120,1,499.218289359544710
121,1,1445.281991071236900
122,1,117.260452159009450
123,1,525.632857506270510
124,1,10.683709548640554
125,1,759.176946034899520
126,1,449.362448345873470
127,1,241.400378681988170
128,1,621.905574519881380
129,1,66.184377396682052
130,1,59.550653859824457
131,1,759.167561587563450
132,1,219.111155950569700
133,1,60.531953673908518
134,1,66.369557469324405
135,1,124.234294758355490
136,1,248.279955837879360
137,1,802.621039514234100
138,1,1070.297623245543900
139,1,1543.450448609780800
140,1,1311.678111279145200
141,1,583.850377739079700
142,1,179.922578820031420
143,1,108.376742756313110
144,1,65.585153289000530
145,1,111.687611398380040
146,1,221.554251390386300
147,1,63.256534235843283
148,1,30.489004246404487
149,1,392.048643259695950
150,1,834.102295897355020
151,1,448.612720723546430
152,1,19.768007588106517
153,1,4154.584251458730300
154,1,1102.085826510097400
155,1,196.838484325840430
156,1,886.220163568571250
157,1,18.693837051094420
158,1,1164.403240271706400
159,1,818.844158936255780
160,1,1651.013607267197400
161,1,641.723753079984480
162,1,37.743496370249247
163,1,37.308970360997179
164,1,53.687125305840738
165,1,61.390778359034115
166,1,67.166190891622506
167,1,877.655889616872630
168,1,1153.709885541410800
169,1,289.603677055995600
170,1,532.489591276996630
171,1,218.258871566145070
172,1,185.315433826096980
173,1,253.332177047191490
174,1,553.327790654950600
175,1,130.460103491378220
176,1,467.240986980085440
177,1,493.660492919528620
178,1,466.501193725736190
179,1,592.967953044701180
180,1,565.693528177968230
181,1,11.802839316552758
182,1,107.731171039602660
183,1,123.011910651249720
184,1,355.309932534039490
185,1,80.815412261272058
186,1,366.013139660954720
187,1,2407.229334505618700
188,1,121.746076074132650
189,1,323.588410333807700
190,1,149.461972968242580
191,1,130.201456888852990
192,1,80.620118006776011
193,1,14.680974905582541
194,1,63.259048459295585
195,1,84.867636115053131
196,1,275.436499334756040
197,1,105.466801623270370
198,1,163.907993415984890
199,1,45.379627675420146
200,1,141.315627771480990
201,1,290.111557835458770
202,1,473.047183436887220
203,1,155.092556727285340
204,1,803.841703941015570
205,1,278.711209456810020
206,1,32.098932409505181
207,1,181.824177762430220
