OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,DS,US
226,114,73,0,1,73,0
227,114,74,0,1,73,74
228,115,69,0,1,71,69
229,115,71,0,1,71,0
230,116,70,0,1,70,0
231,116,71,0,1,70,71
232,117,226,0,1,227,226
233,117,227,0,1,227,0
234,118,230,0,1,231,230
235,118,231,0,1,231,0
236,119,64,0,1,65,64
237,119,65,0,1,65,0
238,120,60,0,1,62,60
239,120,62,0,1,62,0
240,121,61,0,1,61,0
241,121,62,0,1,61,62
242,122,210,0,1,211,210
243,122,211,0,1,211,0
244,123,149,0,1,152,149
245,123,152,0,1,152,0
246,124,151,0,1,151,0
247,124,152,0,1,151,152
248,125,150,0,1,150,0
249,125,151,0,1,150,151
250,126,139,0,1,141,139
251,126,141,0,1,141,0
252,127,140,0,1,140,0
253,127,141,0,1,140,141
254,128,145,0,1,146,145
255,128,146,0,1,146,0
256,129,257,0,1,258,257
257,129,258,0,1,258,0
258,130,127,0,1,129,127
259,130,129,0,1,129,0
260,131,128,0,1,128,0
261,131,129,0,1,128,129
262,132,130,0,1,132,130
263,132,132,0,1,132,0
264,133,131,0,1,131,0
265,133,132,0,1,131,132
266,134,207,0,1,209,207
267,134,209,0,1,209,0
268,135,208,0,1,208,0
269,135,209,0,1,208,209
270,136,195,0,1,196,195
271,136,196,0,1,196,0
272,137,195,0,1,195,0
273,137,197,0,1,195,197
274,138,167,0,1,169,167
275,138,169,0,1,169,0
276,139,168,0,1,168,0
277,139,169,0,1,168,169
278,140,168,0,1,170,168
279,140,170,0,1,170,0
280,141,170,0,1,171,170
281,141,171,0,1,171,0
282,142,171,0,1,172,171
283,142,172,0,1,172,0
284,143,233,0,1,233,0
285,144,92,0,1,92,0
286,145,103,0,1,103,0
287,146,90,0,1,237,90
288,146,92,0,1,237,92
289,146,237,0,1,237,0
290,147,88,0,1,88,0
291,147,103,0,1,88,103
292,147,213,0,1,88,213
293,148,236,0,1,256,236
294,148,238,0,1,256,238
295,148,256,0,1,256,0
296,149,53,0,1,212,53
297,149,113,0,1,212,113
298,149,212,0,1,212,0
299,150,113,0,1,113,0
300,151,53,0,1,53,0
301,152,2,0,1,2,0
302,153,232,0,1,232,0
303,154,155,0,1,155,0
304,154,232,0,1,155,232
305,154,258,0,1,155,258
306,155,40,0,1,40,0
307,156,154,0,1,154,0
308,156,156,0,1,154,156
309,156,229,0,1,154,229
310,157,229,0,1,229,0
311,158,55,0,1,55,0
312,159,39,0,1,39,0
313,160,39,0,1,206,39
314,160,55,0,1,206,55
315,160,206,0,1,206,0
316,161,154,0,1,175,154
317,161,175,0,1,175,0
318,161,206,0,1,175,206
319,162,104,0,1,104,0
320,163,1,0,1,1,0
321,164,1,0,1,160,1
322,164,3,0,1,160,3
323,164,160,0,1,160,0
324,165,41,0,1,79,41
325,165,79,0,1,79,0
326,165,82,0,1,79,82
327,166,80,0,1,244,80
328,166,99,0,1,244,99
329,166,244,0,1,244,0
330,167,82,0,1,82,0
331,168,114,0,1,114,0
332,169,107,0,1,109,107
333,169,109,0,1,109,0
334,169,115,0,1,109,115
335,170,185,0,1,185,0
336,171,174,0,1,174,0
337,171,176,0,1,174,176
338,171,185,0,1,174,185
339,172,186,0,1,186,0
340,173,125,0,1,125,0
341,173,174,0,1,125,174
342,173,186,0,1,125,186
