Species,Candidate,Rouge_Total,Mimico_Total,Highland_Total,Etob_Total,EastDon_Total,Wshed,Rouge_Per,Mimico_Per,Highland_Per,Etob_Per,EastDon_Per,SID,ALTSID,FID,GENUS,SPECIES,GID,ScientificName,ITISTSN,COMMONNAME,OTHERNAMES,FamilyNumber,NATIVE,NONFEED,BENTHIC,SURWCOL,ALGPHYTO,MACVASCU,DETRITUS,INVLVFSH,FSHCRCRB,BLOOD,EGGS,OTHER,MAXTL,MATUAGE,LONGEVITY,FECUNDITY,SERIAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SEASON,REPSTATE,A_1_1,A_1_2,A_1_3A,A_1_3B,A_1_3C,A_1_4,A_1_5,A_1_6,A_2_3A,A_2_3B,A_2_3C,A_2_4A,A_2_4C,B_1_3A,B_1_4,B_2_2,B_2_3A,B_2_3B,B_2_4,B_2_5,B_2_6,B_2_7A,B_2_7B,B_2_7C,C1_3_4_C24,EURYHALINE,MINTEMP,MAXTEMP,MUCK,CLAYSILT,SAND,GRAVEL,COBBLE,BOULDER,BEDROCK,VEGETAT,DEBRDETR,LWD,PELAGIC,PREFLOT,PREFLEN,SLOWCURR,MODCURR,FASTCURR,LARGERIV,SMALLRIV,SPRGSUBT,CREEK,AREAKM2,PERIMETER,PATCHES,LATRANGE,LONRANGE,LONGCENTROID,LATCENTROID,LACUSTRINE,LOWLAND,UPLAND,MONTANE,POTANADR,LISTED,REASON,LIST1,LIST2,LIST3,LIST4,LIST5,EXTINCT,AspRatio
Noturus_flavus,N,7,0,0,0,0,1,0.093333333,0,0,0,0,Nflavus,Nflavus,Ictaluri,Noturus,flavus,Noturus,Noturus flavus,164013,stonecat,.,143,1,0,1,0,1,1,0,1,1,0,0,0,31,3,8,1200,1,0,0,0,1,1,1,1,0,0,0,0,0,4,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-13.9,29.1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,2746920,13193,2,1871,3248,228738.0033,2190145.921,0,0,1,0,0,0,0,0,0,0,0,0,O,
Oncorhynchus_mykiss,N,24,1,0,0,4,3,0.32,0.090909091,0,0,0.121212121,Omykiss,Omykiss,Salmonid,Oncorhynchus,mykiss,Oncorhyn,Oncorhynchus mykiss,161989,rainbow trout,.,175,1,0,1,1,0,0,0,1,1,0,1,0,120,4,7,27000,0,1,1,0,0,0,0,0,0,0,0,1,1,4,MS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,2607482,13921,2,4613,2332,-2042426.435,3331430.895,1,0,1,1,0,1,4,0,0,0,0,0,O,1.67
Percina_caprodes,N,1,0,0,0,0,1,0.013333333,0,0,0,0,Pcaprode,Pcaprode,Percidae,Percina,caprodes,Percina,Percina caprodes,168472,logperch,.,350,1,0,1,0,0,0,0,1,0,0,1,0,18,1.5,4,3085,0,0,0,0,1,0.5,0,0,0,0,0,0,0,1.5,NC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.7,28.2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,3911619,19169,1,3163,2797,567033.2266,2364987.357,1,1,1,1,0,0,0,0,0,0,0,0,O,1.05
Percopsis_omiscomaycus,N,0,1,0,0,0,1,0,0.090909091,0,0,0,Pomiscom,Pomiscom,Percopsi,Percopsis,omiscomaycus,Percopsi,Percopsis omiscomaycus,164409,trout-perch,.,209,1,0,1,1,0,1,0,1,1,0,1,0,20,1,2.5,1825,0,0,0,0,0.5,1,1,0,0,0,0,0,0,2.5,WI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,6405738,16734,1,4343,5180,22683.86385,3263449.625,1,1,1,0,0,0,0,0,0,0,0,0,O,1.35
Pimephales_notatus,N,16,1,1,13,0,4,0.213333333,0.090909091,0.0625,0.541666667,0,Pnotatus,Pnotatus,Cyprinid,Pimephales,notatus,Pimephal,Pimephales notatus,163516,bluntnose minnow,.,102,1,0,1,1,1,0,1,1,0,0,0,0,11,1,3.5,4195,1,0,0,0,0,0.75,1,1,0.5,0,0,0,0,3.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-9.1,29.8,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,2784561,13947,3,2193,2406,660183.247,1981435.788,1,1,1,1,0,0,0,0,0,0,0,0,O,1.11
Pimephales_promelas,Y,33,8,12,9,13,5,0.44,0.727272727,0.75,0.375,0.393939394,Ppromela,Ppromela,Cyprinid,Pimephales,promelas,Pimephal,Pimephales promelas,163517,fathead minnow,.,102,1,0,1,1,1,0,1,1,0,0,0,0,10,0.5,2,10164,1,0,0,0,0,1,1,1,0.25,0,0,0,0,3.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-16.1,29.1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,8418203,19254,1,3872,3933,-65462.8623,2332333.34,1,1,1,1,0,0,0,0,0,0,0,0,O,1.51
Pomoxis_nigromaculatus,N,3,0,0,0,0,1,0.04,0,0,0,0,Pnigroma,Pnigroma,Centrarc,Pomoxis,nigromaculatus,Pomoxis,Pomoxis nigromaculatus,168167,black crappie,.,349,1,0,1,1,0,0,0,1,1,0,0,0,49,2.5,8,188000,0,0,0,0,1,1,0.25,0,0,0,0,0,0,2.25,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-5.5,31.8,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,3196197,15968,1,2578,2255,727052.4695,1758087.091,1,1,1,0,0,0,0,0,0,0,0,0,O,1.57
Pylodictis_olivaris,N,1,0,0,0,0,1,0.013333333,0,0,0,0,Polivari,Polivari,Ictaluri,Pylodictis,olivaris,Pylodict,Pylodictis olivaris,164029,flathead catfish,.,143,1,0,1,1,0,0,0,1,1,0,0,0,155,4.5,23,100000,0,0,0,0,0,0,1,0.5,0,0,0,0,0,1.5,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.6,33.2,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1962136,16069,3,2322,2399,303833.9752,1480610.561,1,1,1,0,0,0,0,0,0,0,0,0,O,1.19
Rhinichthys_atratulus,N,52,0,15,20,30,4,0.693333333,0,0.9375,0.833333333,0.909090909,Ratratul,Ratratul,Cyprinid,Rhinichthys,atratulus,Rhinicht,Rhinichthys atratulus,163382,eastern blacknose dace,blacknose dace,102,1,0,1,1,1,0,1,1,1,0,1,0,10,1.5,3.5,2674,0,0,0,0,1,1,1,0,0,0,0,0,0,3,NC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.2,28.6,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,2539835,16069,1,2356,2974,899951.2098,2329122.889,0,0,1,1,0,0,0,0,0,0,0,0,O,1.38
Rhinichthys_cataractae,Y,39,1,9,18,21,5,0.52,0.090909091,0.5625,0.75,0.636363636,Rcatarac,Rcatarac,Cyprinid,Rhinichthys,cataractae,Rhinicht,Rhinichthys cataractae,163384,longnose dace,.,102,1,0,1,0,1,0,0,1,0,0,1,0,22.5,2.5,5,10000,0,0,0,0,0.75,1,0.25,0,0,0,0,0,0,2,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,7646701,22807,5,5128,4540,-318230.1747,2938286.11,1,1,1,1,0,1,4,0,0,0,0,0,O,1.28
Salmo_salar,N,1,0,0,0,0,1,0.013333333,0,0,0,0,Ssalar,Ssalar,Salmonid,Salmo,salar,Salmo,Salmo salar,161996,Atlantic salmon,.,175,1,0,1,1,0,0,0,1,1,0,0,0,75,4,9,20000,0,0,0,0,0,0,0,0,0,0,1,1,1,3,WA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-555,-555,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1544052,10398,2,2307,1867,2100561.367,3339918.229,0,0,1,0,0,0,0,0,0,0,0,0,O,2.005
Salmo_trutta,N,9,0,0,0,2,2,0.12,0,0,0,0.060606061,Strutta,Strutta,Salmonid,Salmo,trutta,Salmo,Salmo trutta,161997,brown trout,.,175,0,0,1,1,0,0,0,1,1,0,0,0,140,4,18,7500,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,O,1.615
Salvelinus_fontinalis_fontinalis,N,4,0,0,0,0,1,0.053333333,0,0,0,0,Sfontina,Sfontina,Salmonid,Salvelinus,fontinalis,Salvelin,Salvelinus fontinalis,162003,brook trout,.,175,1,0,1,1,0,0,0,1,1,0,0,0,86,4,15,6811,0,0,0,0,0,0,0,0,0,1,1,0,0,2,NC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-999,-999,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,4503559,16953,2,3234,3127,1417893.12,3109044.013,1,0,1,1,1,1,4,0,0,0,0,0,O,1.54
Scardinius_erythrophthalmus,N,0,0,0,0,1,1,0,0,0,0,0.03030303,Serythro,Zzzzzzzz,Cyprinid,Scardinius,erythrophthalmus,Scardini,Scardinius erythrophthalmus,163613,rudd,.,102,0,0,0,0,0,1,0,1,0,0,0,0,51,2,19,60000,1,0,0,0,0,1,1,0,0,0,0,0,0,2,Russia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,O,1.77
Semotilus_atromaculatus,Y,55,7,12,20,27,5,0.733333333,0.636363636,0.75,0.833333333,0.818181818,Satromac,Satromac,Cyprinid,Semotilus,atromaculatus,Semotilu,Semotilus atromaculatus,163376,creek chub,.,102,1,0,1,1,1,1,0,1,1,0,1,0,30,2,5,7157,0,0,0,0,0.75,0.75,0,0,0,0,0,0,0,1.5,NC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.7,29.7,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,4335596,18673,5,3135,3755,590133.3689,2084368.502,0,1,1,1,0,0,0,0,0,0,0,0,O,1.11
